eBird species code 2019,English name,scientific name,range,eBird species group
aakspa1,Abd al Kuri Sparrow,Passer hemileucus,Socotra Islands (Abd Al Kuri),Old World Sparrows
abbbab1,Abbott's Babbler,Turdinus abbotti,,Ground Babblers and Allies
abbboo2,Abbott's Booby,Papasula abbotti,Christmas I. (e Indian Ocean),"Frigatebirds, Boobies, and Gannets"
abbsta2,Abbott's Starling,Poeoptera femoralis,Mt. Kenya south to Mt. Meru and Mt. Kilimanjaro,Starlings and Mynas
abbwar1,Aberrant Bush Warbler,Horornis flavolivaceus,,Bush Warblers and Allies
abbwar2,Aberrant Bush Warbler (Aberrant),Horornis flavolivaceus [flavolivaceus Group],,Bush Warblers and Allies
abbwar3,Aberrant Bush Warbler (Perplexing),Horornis flavolivaceus intricatus/oblitus,,Bush Warblers and Allies
abcwin1,Abyssinian Crimsonwing,Cryptospiza salvadorii,,Estrildids
abdsto1,Abdim's Stork,Ciconia abdimii,Sub-Saharan Africa and sw Arabia,Storks
abecis1,Aberdare Cisticola,Cisticola aberdare,W-central Kenya (Aberdare Mountains),Cisticolas and Allies
abethr1,African Bare-eyed Thrush,Turdus tephronotus,Arid lowlands of Ethiopia and Somalia to Kenya and ne Tanzania,Thrushes
abetow,Abert's Towhee,Melozone aberti,,New World Sparrows
abgthr1,Abyssinian Ground-Thrush,Geokichla piaggiae,,Thrushes
abhori1,African Black-headed Oriole,Oriolus larvatus,,Old World Orioles
absbil1,Abyssinian Scimitarbill,Rhinopomastus minor,,Woodhoopoes and Scimitarbills
absfin1,Ash-breasted Sierra-Finch,Geospizopsis plebejus,,Tanagers and Allies
abttyr1,Ash-breasted Tit-Tyrant,Anairetes alpinus,,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
abycat1,Abyssinian Catbird,Parophasma galinieri,Highland juniper and Hagenia forests of Ethiopia,Sylviid Warblers
abygrt1,Abyssinian Ground-Thrush (Abyssinian),Geokichla piaggiae [piaggiae Group],,Thrushes
abylon1,Abyssinian Longclaw,Macronyx flavicollis,High grasslands of Ethiopia,Wagtails and Pipits
abynig1,Abyssinian Nightjar,Caprimulgus poliocephalus,"SW Saudi Arabia to Ethiopia, ne Uganda and n Tanzania",Nightjars
abyrol2,Abyssinian Roller,Coracias abyssinicus,"Senegambia to Ethiopia, Somalia and Kenya; central Arabia","Bee-eaters, Rollers, and Allies"
abysis1,Ethiopian Siskin,Serinus nigriceps,Alpine moorlands of n and central Ethiopia,"Finches, Euphonias, and Allies"
abyslf1,Abyssinian Slaty-Flycatcher,Melaenornis chocolatinus,,Old World Flycatchers
abythr1,Abyssinian Thrush,Turdus abyssinicus,,Thrushes
abythr2,Abyssinian Thrush (Ngorongoro),Turdus abyssinicus oldeani,Mountains of n-central Tanzania,Thrushes
abythr3,Abyssinian Thrush (Abyssinian),Turdus abyssinicus [abyssinicus Group],,Thrushes
abywhe1,Abyssinian White-eye (Socotra),Zosterops abyssinicus socotranus,N Somalia and Socotra,"White-eyes, Yuhinas, and Allies"
abywoo1,Abyssinian Woodpecker,Chloropicus abyssinicus,Savanna and juniper highlands of Ethiopia and Eritrea,Woodpeckers
acafly,Acadian Flycatcher,Empidonax virescens,Breeds e US; winters Nicaragua to Ecuador and Venezuela,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
accent1,accentor sp.,Prunella sp.,,Accentors
accipi,Accipiter sp.,Accipiter sp.,,"Vultures, Hawks, and Allies"
acowoo,Acorn Woodpecker,Melanerpes formicivorus,,Woodpeckers
acowoo1,Acorn Woodpecker (Acorn),Melanerpes formicivorus [formicivorus Group],,Woodpeckers
acowoo2,Acorn Woodpecker (Narrow-fronted),Melanerpes formicivorus angustifrons,Cape region of s Baja California,Woodpeckers
acrant1,Acre Antshrike,Thamnophilus divisorius,W Amazonian Brazil in Serra do Divisor National Park,Antbirds
acrido1,Acridotheres sp.,Acridotheres sp.,,Starlings and Mynas
acroce1,Acrocephalus sp.,Acrocephalus sp.,,Reed Warblers and Allies
acrtot1,Acre Tody-Tyrant,Hemitriccus cohnhafti,southwestern Amazonia in Brazil (eastern Acre) and adjacent southeastern Peru (Madre de Dios); presumably also occurs in adjacent northern Bolivia (Pando),"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
adepen1,Adelie Penguin,Pygoscelis adeliae,Circumpolar Antarctic seas to edge of ice pack,Penguins
aderos1,Crimson Rosella (Adelaide),Platycercus elegans adelaidae/subadelaidae,,"Parrots, Parakeets, and Allies"
adewar1,Adelaide's Warbler,Setophaga adelaidae,Puerto Rico and Vieques I.,Wood-Warblers
adtdov1,Adamawa Turtle-Dove,Streptopelia hypopyrrha,"Highlands of e Nigeria, n Cameroon and extreme sw Chad",Pigeons and Doves
aerodr1,dark swiftlet sp.,Aerodramus sp.,,Swifts
aethop1,Aethopyga sp.,Aethopyga sp.,,Sunbirds and Spiderhunters
afbduc1,African Black Duck,Anas sparsa,,Waterfowl
